7/10,Pelham Academy Of Academics And Community Engageme,"2441 Wallace Avenue, Bronx, NY, 10467","Public district, 6-8",323
7/10,Ps Ms 498 Van Nest Academy,"1640 Bronxdale Avenue, Bronx, NY, 10462","Public district, K-8",641
7/10,Brilla College Prep Public Charter School,"413 East 144th Street, Bronx, NY, 10454","Public charter, K-5",525
7/10,Family Life Academy Charter School Ii,"296 East 140th Street, Bronx, NY, 10454","Public charter, K-8",483
7/10,AMERICAN DREAM CHARTER SCHOOL,"510 East 141st Street, Bronx, NY, 10454","Public charter, 6-9",342
6/10,Ps 36 Unionport,"1070 Castle Hill Avenue, Bronx, NY, 10472","Public district, PK-5",759
6/10,Ps 41 Gun Hill Road,"3352 Olinville Avenue, Bronx, NY, 10467","Public district, K-5",921
6/10,Ps 49 Willis Avenue,"383 East 139th Street, Bronx, NY, 10454","Public district, PK-5",660
6/10,Ps 53 Basheer Quisim,"360 East 168th Street, Bronx, NY, 10456","Public district, PK-5","1,142"
6/10,Ps 86 Kingsbridge Heights,"2756 Reservoir Avenue, Bronx, NY, 10468","Public district, PK-6","1,669"
6/10,Ps 88 S Silverstein Little Sparrow School,"1340 Sheridan Avenue, Bronx, NY, 10456","Public district, K-3",146
6/10,P.S. 89,"980 Mace Avenue, Bronx, NY, 10469","Public district, PK-8","1,550"
6/10,Ps 105 Senator Abraham Bernstein,"725 Brady Avenue, Bronx, NY, 10462","Public district, K-5","1,107"
6/10,Jhs 118 William W Niles,"577 East 179th Street, Bronx, NY, 10457","Public district, 6-8","1,174"
6/10,Ps 119,"1075 Pugsley Avenue, Bronx, NY, 10472","Public district, PK-5",888
6/10,Jhs 127 The Castle Hill,"1560 Purdy Street, Bronx, NY, 10462","Public district, 6-8",809
6/10,Ps 153 Helen Keller,"650 Baychester Avenue, Bronx, NY, 10475","Public district, PK-5",647
6/10,Ps 175 City Island,"200 City Island Avenue, Bronx, NY, 10464","Public district, K-8",333
6/10,Bronx School For Law Government And Justice,"244 East 163rd Street, Bronx, NY, 10451","Public district, 6-12",767
6/10,Ps Ms 280 Mosholu Parkway,"3202 Steuben Avenue, Bronx, NY, 10467","Public district, K-8",887
6/10,Ps 3 Raul Julia Micro Society,"2100 Lafontaine Avenue, Bronx, NY, 10457","Public district, PK-8",347
6/10,Ps Ms 194,"2365 Waterbury Avenue, Bronx, NY, 10462","Public district, K-8","1,326"
6/10,Bronx Charter School For Children,"388 Willis Avenue, Bronx, NY, 10454","Public charter, K-5",425
