10/10,Pittsford Mendon High School,"472 Mendon Road, Pittsford, NY, 14534","Public district, 9-12","1,017"
10/10,Mendon Center Elementary School,"110 Mendon Center Road, Pittsford, NY, 14534","Public district, K-5",738
10/10,Blind Brook High School,"840 King Street, Rye Brook, NY, 10573","Public district, 9-12",498
10/10,Harbor Hill School,"3 Glen Cove Road, Greenvale, NY, 11548","Public district, PK-5",494
10/10,Roslyn Middle School,"375 Locust Lane, Roslyn Heights, NY, 11577","Public district, 6-8",756
10/10,Greenacres School,"41 Huntington Avenue, Scarsdale, NY, 10583","Public district, K-5",369
10/10,Heathcote School,"26 Palmer Avenue, Scarsdale, NY, 10583","Public district, K-5",391
10/10,Scarsdale Senior High School,"1057 Post Road, Scarsdale, NY, 10583","Public district, 9-12","1,517"
10/10,Glen Head Elementary School,"7 School Street, Glen Head, NY, 11545","Public district, K-5",346
10/10,Glenwood Landing Elementary School,"60 Cody Avenue, Glen Head, NY, 11545","Public district, K-5",442
10/10,North Shore Middle School,"505 Glen Cove Avenue, Glenwood Landing, NY, 11547","Public district, 6-8",620
10/10,Chango Elementary School,"Chango Dr, Ballston Lake, NY, 12019","Public district, K-5",541
10/10,Baylis Elementary School,"580 Woodbury Road, Plainview, NY, 11803","Public district, K-5",450
10/10,Berry Hill Elementary School,"181 Cold Spring Road, Syosset, NY, 11791","Public district, K-5",394
10/10,South Grove Elementary School,"60 Colony Lane, Syosset, NY, 11791","Public district, K-5",456
10/10,Mandalay School,"2667 Bayview Avenue, Wantagh, NY, 11793","Public district, K-5",262
10/10,Ps 77 Lower Lab School,"1700 3rd Avenue, New York, NY, 10128","Public district, K-5",357
10/10,Ms 255 Salk School Of Science,"320 East 20th Street, New York, NY, 10003","Public district, 6-8",387
10/10,East Side Middle School,"331 East 91st Street, New York, NY, 10128","Public district, 6-8",449
10/10,Queens College School For Math Science And Techno,"148-20 Reeves Avenue, Queens, NY, 11367","Public district, PK-8",496
10/10,Staten Island Technical High School,"485 Clawson Street, Staten Island, NY, 10306","Public district, 9-12","1,320"
10/10,Eleanor Roosevelt High School,"411 East 76th Street, New York, NY, 10021","Public district, 9-12",538
10/10,Millennium High School,"75 Broad Street, New York, NY, 10004","Public district, 9-12",668
10/10,Ballet Tech Nyc Ps For Dance,"890 Broadway, New York, NY, 10003","Public district, 4-8",139
10/10,High School Of American Studies At Lehman College,"2925 Goulden Avenue, Bronx, NY, 10468","Public district, 9-12",399
10/10,Queens High School For The Sciences At York Colleg,"94-50 159th Street, Queens, NY, 11433","Public district, 9-12",474
10/10,The Math And Science Exploratory School,"345 Dean Street, Brooklyn, NY, 11217","Public district, 6-8",524
10/10,New Voices School Of Academic And Creative Arts,"330 18th Street, Brooklyn, NY, 11215","Public district, 6-8",569
10/10,High School For Dual Language And Asian Studies,"350 Grand Street, New York, NY, 10002","Public district, 9-12",396
10/10,Tag Young Scholars,"240 East 109th Street, New York, NY, 10029","Public district, K-8",576
10/10,Brooklyn Latin School,"223 Graham Avenue, Brooklyn, NY, 11206","Public district, 9-12",681
10/10,Icahn Charter School 2,"1640 Bronxdale Avenue, Bronx, NY, 10462","Public charter, K-8",320
10/10,High School Math Science And Engineering At Ccny,"240 Convent Avenue, New York, NY, 10031","Public district, 9-12",500
10/10,Battery Park City School,"55 Battery Place, New York, NY, 10280","Public district, K-8",822
10/10,Spruce Street School,"12 Spruce Street, New York, NY, 10038","Public district, PK-8",539
10/10,The Active Learning Elementary School,"137-20 Franklin Avenue, Queens, NY, 11355","Public district, PK-3",460
10/10,Success Academy Charter School-Harlem 2,"144 East 128th Street, New York, NY, 10035","Public charter, K-4",755
10/10,Success Academy Bronx 2,"450 Saint Pauls Place, Bronx, NY, 10456","Public charter, K-8",789
10/10,Ps 748 Brooklyn School For Global Scholars,"1664 Benson Avenue, Brooklyn, NY, 11214","Public district, K-5",546
10/10,Ps 452,"210 West 61st Street, New York, NY, 10023","Public district, PK-5",329
10/10,"East Side Elementary School, PS 267","213 East 63rd Street, New York, NY, 10065","Public district, K-5",397
10/10,Success Academy Bed-Stuy 2,"211 Throop Avenue, Brooklyn, NY, 11206","Public charter, K-6",342
10/10,Success Academy Williamsburg,"183 South 3rd Street, Brooklyn, NY, 11211","Public charter, K-4",475
10/10,P.S. 527 East Side School-Social Actio,"323 East 91st Street, New York, NY, 10128","Public district, K-5",384
10/10,Success Academy Hell's Kitchen,"439 West 49th Street, New York, NY, 10019","Public charter, K-4",481
10/10,Icahn Charter School 5,"1500 Pelham Parkway South, Bronx, NY, 10461","Public charter, K-8",314
10/10,Success Acad Charter School-Brooklyn 6,"790 Prospect Place, Brooklyn, NY, 11216","Public charter, K-6",529
10/10,Success Academy Bensonhurst,"99 Avenue P, Brooklyn, NY, 11204","Public charter, K-4",494
