,school,rating,type,students,grades,city,zip
785,Calcium Primary School,7,Public district,570, K-3, Calcium, 13616
786,Marilla Primary School,7,Public district,223, K-4, Marilla, 14102
787,Elma Primary School,7,Public district,288, K-4, Elma Center, 14059
788,Irondequoit High School,7,Public district,"1,163", 9-12, Rochester, 14617
789,Rogers Middle School,7,Public district,450, 4-6, Rochester, 14617
790,Southlawn School,7,Public district,208, K-3, Irondequoit, 14617
791,Francis X Hegarty Elementary School,7,Public district,417, PK-4, Island Park, 11558
792,Island Trees High School,7,Public district,746, 9-12, Levittown, 11756
793,Islip High School,7,Public district,993, 9-12, Islip, 11751
794,Boynton Middle School,7,Public district,521, 6-8, Ithaca, 14850
795,Ithaca Senior High School,7,Public district,"1,407", 9-12, Ithaca, 14850
796,Kendall Elementary School,7,Public district,383, PK-6, Kendall, 14476
797,Kendall Junior Senior High School,7,Public district,298, 7-12, Kendall, 14476
798,Robert R Graves School,7,Public district,384, K-4, Ulster Park, 12487
799,La Fargeville Central School,7,Public district,575, PK-12, La Fargeville, 13656
800,Lake Pleasant School,7,Public district,86, PK-9, Speculator, 12164
801,Benjamin Franklin Elementary School,7,Public district,528, K-5, Yorktown Heights, 10598
802,Lakeland Copper Beech Middle School,7,Public district,"1,347", 6-8, Yorktown Heights, 10598
803,Lancaster Middle School,7,Public district,864, 7-8, Lancaster, 14086
804,Court Street Elementary School,7,Public district,361, K-3, Lancaster, 14086
805,Lansing Middle School,7,Public district,395, 5-8, Lansing, 14882
806,Wolcott Street School,7,Public district,668, PK-6, Le Roy, 14482
807,Letchworth Senior High School,7,Public district,280, 9-12, Gainesville, 14066
808,Gardiners Avenue School,7,Public district,572, K-5, Levittown, 11756
809,Jonas E Salk Middle School,7,Public district,900, 6-8, Levittown, 11756
810,Lee Road School,7,Public district,289, K-5, Wantagh, 11793
811,Summit Lane School,7,Public district,406, K-5, Levittown, 11756
812,East Broadway School,7,Public district,699, K-5, Seaford, 11783
813,Daniel Street School,7,Public district,533, K-5, Lindenhurst, 11757
814,Harding Avenue School,7,Public district,310, K-5, Lindenhurst, 11757
815,Lindenhurst Middle School,7,Public district,"1,376", 6-8, Lindenhurst, 11757
816,Bayville Elementary School,7,Public district,421, K-5, Bayville, 11709
817,Locust Valley Elementary School,7,Public district,464, K-5, Locust Valley, 11560
818,East Elementary School,7,Public district,360, K-5, Long Beach, 11561
819,Lido Elementary School,7,Public district,595, PK-5, Lido Beach, 11561
820,Lindell Boulevard School,7,Public district,413, K-5, Long Beach, 11561
821,Lowville Elementary School,7,Public district,646, PK-5, Lowville, 13367
822,Lowville High School,7,Public district,407, 9-12, Lowville, 13367
823,Lyme Central School,7,Public district,349, PK-12, Chaumont, 13622
824,Lynbrook North Middle School,7,Public district,282, 6-8, Lynbrook, 11563
825,Lynbrook South Middle School,7,Public district,387, 6-8, Lynbrook, 11563
826,Marion Street School,7,Public district,424, 1-5, Lynbrook, 11563
827,West End School,7,Public district,412, 1-5, Lynbrook, 11563
828,Mahopac High School,7,Public district,"1,700", 9-12, Mahopac, 10541
829,Maine Endwell Middle School,7,Public district,554, 6-8, Endicott, 13760
830,Maine Memorial School,7,Public district,441, PK-5, Maine, 13802
831,Malverne Senior High School,7,Public district,561, 9-12, Malverne, 11565
832,Central School,7,Public district,520, PK-5, Larchmont, 10538
833,Mamaroneck High School,7,Public district,"1,604", 9-12, Mamaroneck, 10543
834,Enders Road Elementary School,7,Public district,595, K-4, Manlius, 13104
835,Wellwood Middle School,7,Public district,635, 5-8, Fayetteville, 13066
836,Marlboro Central High School,7,Public district,586, 9-12, Marlboro, 12542
837,Mckenna Elementary School,7,Public district,464, K-5, Massapequa Park, 11762
838,Berner Middle School,7,Public district,"1,626", 6-8, Massapequa, 11758
839,East Lake Elementary School,7,Public district,507, K-5, Massapequa Park, 11762
840,Fairfield Elementary School,7,Public district,516, K-5, Massapequa, 11758
841,Unqua Elementary School,7,Public district,539, K-5, Massapequa, 11758
842,Grand Avenue Middle School,7,Public district,924, 7-8, Bellmore, 11710
843,Selden Middle School,7,Public district,"1,055", 6-8, Centereach, 11720
844,Millbrook Middle School,7,Public district,233, 6-8, Millbrook, 12545
845,North Country Road School,7,Public district,681, 6-8, Miller Place, 11764
846,Jackson Avenue School,7,Public district,401, 3-4, Mineola, 11501
847,Mineola Middle School,7,Public district,620, 5-7, Mineola, 11501
848,Minisink Valley High School,7,Public district,"1,307", 9-12, Middletown, 10940
849,Minisink Valley Intermediate School,7,Public district,478, 3-5, Middletown, 10940
850,Monroe Woodbury High School,7,Public district,"2,312", 9-12, Woodbury, 10917
851,Walden Elementary School,7,Public district,458, K-5, Walden, 12586
852,Bedford Hills Elementary School,7,Public district,285, K-5, Bedford Hills, 10507
853,Fox Lane High School,7,Public district,"1,348", 9-12, Bedford, 10506
854,West Patent Elementary School,7,Public district,325, K-5, Bedford Hills, 10507
855,Bedford Village Elementary School,7,Public district,265, K-5, Bedford, 10506
856,Mount Sinai Middle School,7,Public district,752, 5-8, Mount Sinai, 11766
857,Lincoln School,7,Public district,646, K-6, Mount Vernon, 10552
858,Longfellow School,7,Public district,291, PK-5, Mount Vernon, 10550
859,Westlake High School,7,Public district,554, 9-12, Thornwood, 10594
860,A Macarthur Barr Middle School,7,Public district,338, 7-8, Nanuet, 10954
861,Link Elementary School,7,Public district,361, K-5, New City, 10956
862,Woodglen Elementary School,7,Public district,456, K-5, New City, 10956
863,Hughes Elementary School,7,Public district,479, K-6, New Hartford, 13413
864,Robert L Bradley Elementary School,7,Public district,473, K-6, New Hartford, 13413
865,Hillside Grade School,7,Public district,561, K-6, North New Hyde Park, 11040
866,New Paltz Senior High School,7,Public district,799, 9-12, New Paltz, 12561
867,William B Ward Elementary School,7,Public district,"1,057", K-5, New Rochelle, 10804
868,Central Park East High School,7,Public district,493, 9-12, New York, 10029
869,Medgar Evers College Preparatory School,7,Public district,"1,253", 6-12, Brooklyn, 11225
870,Talent Unlimited High School,7,Public district,480, 9-12, New York, 10065
871,Professional Performing Arts High School,7,Public district,562, 6-12, New York, 10036
872,Ps 15 Institute For Environmental Learning,7,Public district,484, K-8, Bronx, 10453
873,Ps 376,7,Public district,518, K-5, Brooklyn, 11237
874,Aviation Career and Technical High School,7,Public district,"2,087", 9-12, Queens, 11101
875,Is 181 Pablo Casals,7,Public district,882, 6-8, Bronx, 10475
876,Jhs 278 Marine Park,7,Public district,"1,107", 6-8, Brooklyn, 11229
877,Ps 1 Alfred E Smith,7,Public district,318, PK-5, New York, 10038
878,Ps 2 Meyer London,7,Public district,550, PK-5, New York, 10002
879,Ps 3 The Margaret Gioiosa School,7,Public district,793, PK-5, Staten Island, 10309
880,Ps 4 Maurice Wollin,7,Public district,744, PK-5, Staten Island, 10312
881,Ps 7 Kingsbridge,7,Public district,758, K-5, Bronx, 10463
882,Ps 8 Shirlee Solomon,7,Public district,602, PK-5, Staten Island, 10308
883,Ps 8 Robert Fulton,7,Public district,916, K-8, Brooklyn, 11201
884,Is 10 Horace Greeley,7,Public district,740, 6-8, Queens, 11103
885,Ps 11 William T Harris,7,Public district,920, PK-5, New York, 10011
886,Ps 14 Senator John Calandra,7,Public district,548, K-5, Bronx, 10461
887,Ps 19 Asher Levy,7,Public district,258, PK-5, New York, 10003
888,Ps 21 Edward Hart,7,Public district,"1,422", PK-5, Queens, 11354
889,Is 24 Myra S Barnes,7,Public district,"1,264", 6-8, Staten Island, 10308
890,Ps 25 Eubie Blake School,7,Public district,175, PK-5, Brooklyn, 11221
891,Ps 26 Jesse Owens,7,Public district,230, PK-5, Brooklyn, 11221
892,Ps 30 Westerleigh,7,Public district,827, PK-5, Staten Island, 10314
893,Ps 32 State Street,7,Public district,983, PK-5, Queens, 11358
894,Ps 33 Chelsea Prep,7,Public district,628, PK-5, New York, 10001
895,P.S. 34 Oliver H Perry,7,Public district,482, PK-5, Brooklyn, 11222
896,Ps 38 The Pacific,7,Public district,570, PK-5, Brooklyn, 11217
897,Ps 41 New Dorp,7,Public district,678, PK-5, Staten Island, 10306
898,Ps 48 Mapleton,7,Public district,593, PK-5, Brooklyn, 11204
899,Ps 48 William C Wilcox,7,Public district,982, PK-8, Staten Island, 10304
900,Ps 52 John C Thompson,7,Public district,524, PK-5, Staten Island, 10305
901,Jhs 62 Ditmas,7,Public district,"1,200", 6-8, Brooklyn, 11218
902,Ps 63 Old South,7,Public district,"1,223", PK-5, Queens, 11417
903,Ps 65,7,Public district,611, K-5, Brooklyn, 11208
904,Ps 71 Rose E Scala,7,Public district,"1,647", K-8, Bronx, 10461
905,Ps 75 Emily Dickinson,7,Public district,562, K-5, New York, 10025
906,P.S. 83 Donald Hertz,7,Public district,"1,692", K-8, Bronx, 10462
907,Ps 295,7,Public district,497, PK-5, Brooklyn NY 11215, NY
908,Ps 87 Middle Village,7,Public district,608, PK-8, Queens, 11379
909,Is 93 Ridgewood,7,Public district,"1,094", 6-8, Queens, 11385
910,Ps 95 Eastwood,7,Public district,"1,494", K-5, Queens, 11432
911,Ps 95 The Gravesend,7,Public district,941, PK-8, Brooklyn, 11223
912,I.S. 96 Seth Low,7,Public district,773, 6-8, Brooklyn, 11204
913,Ps 97 The Highlawn,7,Public district,773, K-5, Brooklyn, 11223
914,Ps 99 Kew Gardens,7,Public district,794, K-6, Queens, 11415
915,Ps 100 Glen Morris,7,Public district,954, PK-5, Queens, 11420
916,Ps 102 The Bayview,7,Public district,"1,426", K-5, Brooklyn, 11209
917,Ps 108 Philip J Abinanti,7,Public district,616, PK-5, Bronx, 10461
918,Ps 108 Capt Vincent G Fowler,7,Public district,"1,469", PK-5, Queens, 11420
919,Ps 112 Lefferts Park,7,Public district,684, PK-5, Brooklyn, 11228
920,Ps Ms 114 Belle Harbor,7,Public district,669, PK-8, Queens, 11694
921,Ps 116 Mary Lindley Murray,7,Public district,545, PK-6, New York, 10016
922,Ps 120,7,Public district,"1,033", PK-5, Queens, 11355
923,Ps 121,7,Public district,935, PK-5, Queens, 11420
924,Ps 126 Jacob August Riis,7,Public district,783, PK-8, New York, 10038
925,Ps 127 Mckinley Park,7,Public district,538, K-5, Brooklyn, 11228
926,Ps 129 Patricia Larkin,7,Public district,"1,094", K-5, Queens, 11356
927,Ps 131,7,Public district,"1,004", PK-5, Brooklyn, 11219
928,Ps 138,7,Public district,560, PK-8, Brooklyn, 11216
929,Ps 146 Howard Beach,7,Public district,681, PK-8, Queens, 11414
930,Ps 153 Maspeth,7,Public district,"1,211", PK-6, Queens, 11378
931,Ps 154,7,Public district,674, PK-5, Queens, 11366
932,Ps 165 Edith K Bergtraum,7,Public district,764, PK-5, Queens, 11367
933,P.S. 169 Bay Terrace,7,Public district,444, PK-5, Queens, 11360
934,Ralph A Fabrizio School,7,Public district,"1,037", K-5, Brooklyn, 11209
935,Ps 175 The Lynn Gross Discovery School,7,Public district,809, PK-5, Queens, 11374
936,Ps 176 Cambria Heights,7,Public district,714, PK-5, Queens, 11411
937,Ms 180 Dr Daniel Hale Williams,7,Public district,967, 6-8, Bronx, 10475
938,Ps 191 Mayflower,7,Public district,399, PK-5, Queens, 11001
939,Ps 198 Isador E Ida Straus,7,Public district,461, PK-5, New York, 10128
940,Ps 199 Frederick Wachtel,7,Public district,551, PK-5, Brooklyn, 11230
941,Ps Ms 200 The Magnet School of Global Studies & Leadership,7,Public district,520, PK-8, Queens, 11365
942,Jhs 202 Robert H Goddard,7,Public district,"1,099", 6-8, Queens, 11417
943,Ps 205 Clarion,7,Public district,"1,280", PK-5, Brooklyn, 11204
944,Ps 206 Joseph F Lamb,7,Public district,"1,503", PK-8, Brooklyn, 11229
945,Ps 216 Arturo Toscanini,7,Public district,752, PK-5, Brooklyn, 11223
946,Ps 217 Colonel David Marcus School,7,Public district,"1,175", PK-5, Brooklyn, 11230
947,Ps 226 Alfred De B Mason,7,Public district,"1,025", PK-8, Brooklyn, 11204
948,Jhs 227 Edward B Shallow,7,Public district,"1,499", 6-8, Brooklyn, 11204
949,Ps 232 Lindenwood,7,Public district,967, K-8, Queens, 11414
950,Ps 254 Dag Hammarskjold,7,Public district,796, PK-5, Brooklyn, 11235
951,Is 281 Joseph B Cavallaro,7,Public district,"1,341", 6-8, Brooklyn, 11214
952,Ps 289 George V Brower,7,Public district,394, PK-5, Brooklyn, 11213
953,Jhs 292 Margaret S Douglas,7,Public district,563, 6-8, Brooklyn, 11207
954,Is 303 Herbert S Eisenberg,7,Public district,536, 6-8, Brooklyn, 11224
955,Ps 312 Bergen Beach,7,Public district,791, PK-5, Brooklyn, 11234
956,Young Women's Leadership School,7,Public district,483, 6-12, New York, 10029
957,Is 30 Mary White Ovington,7,Public district,924, K-4, Brooklyn, 11209
958,Ella Baker School,7,Public district,321, PK-8, New York, 10065
959,Ms 131,7,Public district,431, 6-8, New York, 10002
960,Manhattan Center for Science & Mathematics,7,Public district,"1,627", 9-12, New York, 10029
961,Ps 204 Morris Heights,7,Public district,628, PK-5, Bronx, 10453
962,Newfane Senior High School,7,Public district,543, 9-12, Newfane, 14108
963,Van Antwerp Middle School,7,Public district,420, 6-8, Niskayuna, 12309
964,Craig Elementary School,7,Public district,413, K-5, Niskayuna, 12309
965,Rosendale School,7,Public district,371, K-5, Niskayuna, 12309
966,Iroquois Middle School,7,Public district,544, 6-8, Niskayuna, 12309
967,John G Dinkelmeyer School,7,Public district,368, K-6, North Bellmore, 11710
968,North Collins Junior Senior High School,7,Public district,295, 7-12, North Collins, 14111
969,Blue Creek School,7,Public district,499, K-6, Latham, 12110
970,Boght Hills School,7,Public district,541, K-6, Cohoes, 12047
971,Latham Ridge School,7,Public district,514, K-6, Latham, 12110
972,Shaker Junior High School,7,Public district,894, 7-8, Latham, 12110
973,Camp Avenue School,7,Public district,470, K-6, Merrick, 11566
974,Harold D Fayette School,7,Public district,273, K-6, North Merrick, 11566
975,Cicero Elementary School,7,Public district,594, K-4, Cicero, 13039
976,Mooers Elementary School,7,Public district,380, PK-5, Mooers, 12958
977,Northport Middle School,7,Public district,665, 6-8, Northport, 11768
978,Ocean Avenue School,7,Public district,339, K-5, Northport, 11768
979,Valley Cottage School,7,Public district,442, K-5, Valley Cottage, 10989
980,Oakfield Alabama Elementary School,7,Public district,464, PK-6, Oakfield, 14125
981,School 7 Oceanside Senior High School,7,Public district,"1,751", 9-12, Oceanside, 11572
982,Orchard Park Middle School,7,Public district,"1,120", 6-8, Orchard Park, 14127
983,Charles E Riley Elementary School,7,Public district,406, K-6, Oswego, 13126
984,Owego Free Academy,7,Public district,637, 9-12, Owego, 13827
985,Owego Elementary School,7,Public district,512, PK-5, Owego, 13827
986,Vernon School,7,Public district,471, 3-6, East Norwich, 11732
987,Panama High School,7,Public district,217, 7-12, Panama, 14767
988,Parishville Hopkinton Elementary School,7,Public district,217, PK-6, Parishville, 13672
989,Pawling Elementary School,7,Public district,385, K-4, Pawling, 12564
990,Pawling Middle School,7,Public district,371, 5-8, Pawling, 12564
991,Pearl River Middle School,7,Public district,591, 5-7, Pearl River, 10965
992,Hutchinson School,7,Public district,371, K-5, Village of Pelham, 10803
993,Pelham Middle School,7,Public district,721, 6-8, Village of Pelham, 10803
994,Indian Landing Elementary School,7,Public district,513, K-5, Rochester, 14625
995,Midlakes High School,7,Public district,526, 9-12, Clifton Springs, 14432
996,Pine Bush Senior High School,7,Public district,"1,700", 9-12, Pine Bush, 12566
997,Eastplain School,7,Public district,308, K-5, North Massapequa, 11758
998,Parkway School,7,Public district,388, K-4, Plainview, 11803
999,Stafford Middle School,7,Public district,431, 6-8, Plattsburgh, 12901
1000,Pleasantville Middle School,7,Public district,523, 5-8, Pleasantville, 10570
1001,Poland Junior Senior High School,7,Public district,246, 7-12, Poland, 13431
1002,Port Jefferson Middle School,7,Public district,247, 6-8, Port Jefferson, 11777
1003,Guggenheim Elementary School,7,Public district,565, K-5, Port Washington, 11050
1004,Paul D Schreiber Senior High School,7,Public district,"1,608", 9-12, Port Washington, 11050
1005,Portville Elementary School,7,Public district,565, PK-6, Portville, 14770
1006,Potsdam Senior High School,7,Public district,389, 8-12, Potsdam, 13676
1007,Queensbury Middle School,7,Public district,753, 6-8, Queensbury, 12804
1008,William H Barton Intermediate School,7,Public district,481, 4-5, Queensbury, 12804
1009,Quogue Elementary School,7,Public district,104, PK-6, Quogue, 11959
1010,Randolph Senior High School,7,Public district,394, 7-12, Randolph, 14772
1011,Bulkeley Middle School,7,Public district,248, 6-8, Rhinebeck, 12572
1012,Chancellor Livingston Elementary School,7,Public district,415, K-5, Rhinebeck, 12572
1013,Rhinebeck Senior High School,7,Public district,369, 9-12, Rhinebeck, 12572
1014,Ripley Central School,7,Public district,146, PK-6, Ripley, 14775
1015,South Side High School,7,Public district,"1,090", 9-12, Rockville Centre, 11570
1016,Rocky Point High School,7,Public district,"1,053", 9-12, Rocky Point, 11778
1017,Royalton Hartland High School,7,Public district,419, 9-12, Middleport, 14105
1018,Rush Henrietta Senior High School,7,Public district,"1,240", 9-12, Henrietta, 14467
1019,Rye Neck Middle School,7,Public district,410, 6-8, Mamaroneck, 10543
1020,Golden Hill Elementary School,7,Public district,380, PK-5, Florida, 10921
1021,Sagamore Middle School,7,Public district,"1,068", 6-8, Holtsville, 11742
1022,Seneca Middle School,7,Public district,"1,087", 6-8, Holbrook, 11741
1023,Sachem High School North,7,Public district,"2,205", 9-12, Lake Ronkonkoma, 11779
1024,Sandy Creek High School,7,Public district,220, 9-12, Sandy Creek, 13145
1025,Maple Avenue Middle School,7,Public district,"1,435", 6-8, Saratoga Springs, 12866
1026,Division Street Elementary School,7,Public district,450, K-5, Saratoga Springs, 12866
1027,Greenfield Elementary School,7,Public district,389, K-5, Greenfield Center, 12833
1028,Saratoga Springs High School,7,Public district,"2,121", 9-12, Saratoga Springs, 12866
1029,Mount Marion Elementary School,7,Public district,300, K-6, Saugerties, 12477
1030,Riccardi Elementary School,7,Public district,307, K-6, Saugerties, 12477
1031,Sunrise Drive Elementary School,7,Public district,395, K-5, Sayville, 11782
1032,Maple Hill High School,7,Public district,267, 9-12, Castleton-on-Hudson, 12033
1033,Schuylerville Junior Senior High School,7,Public district,539, 8-12, Schuylerville, 12871
1034,Glendaal School,7,Public district,218, K-5, Scotia, 12302
1035,Glen Worden Elementary School,7,Public district,232, K-5, Schenectady, 12302
1036,Seaford Manor School,7,Public district,400, K-5, Seaford, 11783
1037,Floral Park Memorial High School,7,Public district,"1,446", 7-12, Floral Park, 11001
1038,New Hyde Park Memorial High School,7,Public district,"1,800", 7-12, North New Hyde Park, 11040
1039,Arongen Elementary School,7,Public district,681, K-5, Clifton Park, 12065
1040,Karigon Elementary School,7,Public district,458, K-5, Clifton Park, 12065
1041,Orenda Elementary School,7,Public district,571, K-5, Clifton Park, 12065
1042,Shenendehowa High School,7,Public district,"3,246", 9-12, Clifton Park, 12065
1043,Sherman High School,7,Public district,190, 7-12, Sherman, 14781
1044,E A Mcallister Elementary School,7,Public district,317, PK-6, Sherrill, 13461
1045,Albert G Prodell Middle School,7,Public district,546, 6-8, Shoreham, 11786
1046,Wading River School,7,Public district,456, 3-5, Wading River, 11792
1047,Dogwood Elementary School,7,Public district,390, K-5, Smithtown, 11787
1048,Mount Pleasant Elementary School,7,Public district,557, K-5, Smithtown, 11787
1049,Saint James Elementary School,7,Public district,547, K-5, Saint James, 11780
1050,Tackan Elementary School,7,Public district,620, K-5, Nesconset, 11767
1051,Colonie Central High School,7,Public district,"1,530", 9-12, Albany, 12205
1052,Shaker Road Elementary School,7,Public district,358, K-4, Albany, 12211
1053,Moreau Elementary School,7,Public district,262, K-5, South Glens Falls, 12803
1054,Walt Whitman High School,7,Public district,"1,983", 9-12, Huntington Station, 11746
1055,Glenfield Elementary School,7,Public district,230, PK-4, Glenfield, 13343
1056,Port Leyden Elementary School,7,Public district,210, PK-4, Port Leyden, 13433
1057,Tappan Zee High School,7,Public district,"1,077", 9-12, Orangeburg, 10962
1058,Southwestern Middle School,7,Public district,306, 6-8, Jamestown, 14701
1059,Southwestern Senior High School,7,Public district,420, 8-12, Jamestown, 14701
1060,Spencer Van Etten High School,7,Public district,298, 9-12, Spencer, 14883
1061,Spencerport High School,7,Public district,"1,179", 9-12, Spencerport, 14559
1062,Springs School,7,Public district,736, PK-8, East Hampton, 11937
1063,William Sidney Mount School,7,Public district,476, K-6, Stony Brook, 11790
1064,Cherry Lane Elementary School,7,Public district,279, K-5, Airmont, 10901
1065,Richard P Connor Elementary School,7,Public district,467, K-5, Suffern, 10901
1066,Richard T Stank Middle School,7,Public district,299, 6-8, Conklin, 13748
1067,Mullen Elementary School,7,Public district,266, K-4, Tonawanda, 14150
1068,Town Of Webb School,7,Public district,243, K-12, Old Forge, 13420
1069,Tuckahoe Middle School,7,Public district,278, 6-8, Eastchester, 10709
1070,Tuckahoe High School,7,Public district,286, 9-12, Eastchester, 10709
1071,Tully Junior Senior High School,7,Public district,403, 7-12, Tully, 13159
1072,George F Baker High School,7,Public district,105, 7-12, Tuxedo Park, 10987
1073,Union Springs Middle School High School,7,Public district,279, 9-12, Union Springs, 13160
1074,Grand Avenue Elementary School,7,Public district,313, K-5, Baldwin, 11510
1075,Smith Street Elementary School,7,Public district,488, K-5, Uniondale, 11553
1076,Valhalla High School,7,Public district,497, 9-12, Valhalla, 10595
1077,Wheeler Avenue School,7,Public district,600, 1-6, Valley Stream, 11580
1078,William L Buck School,7,Public district,335, K-6, Valley Stream, 11581
1079,Clearstream Avenue School,7,Public district,380, K-6, Valley Stream, 11580
1080,Valley Stream Central High School,7,Public district,987, 10-12, Valley Stream, 11580
1081,Valley Stream Memorial Junior High School,7,Public district,835, 7-9, Valley Stream, 11580
1082,Valley Stream North High School,7,Public district,"1,383", 7-12, Franklin Square, 11010
1083,Vestal Middle School,7,Public district,781, 6-8, Vestal, 13850
1084,Clayton Avenue Elementary School,7,Public district,311, K-5, Vestal, 13850
1085,Victor Intermediate School,7,Public district,977, 4-6, Victor, 14564
1086,Voorheesville Elementary School,7,Public district,533, K-5, Voorheesville, 12186
1087,Wantagh School,7,Public district,619, K-5, Wantagh, 11793
1088,John Jay Senior High School,7,Public district,"2,018", 9-12, Hopewell Junction, 12533
1089,Oak Grove Elementary School,7,Public district,435, K-6, Poughkeepsie, 12601
1090,Sheafe Road Elementary School,7,Public district,586, K-6, Wappingers Falls, 12590
1091,Warwick Valley Middle School,7,Public district,"1,082", 5-8, Warwick, 10990
1092,Memorial Park Elementary School,7,Public district,404, PK-6, Waterville, 13480
1093,Wayne Senior High School,7,Public district,745, 6, Ontario, 14519
1094,Plank Road South Elementary School,7,Public district,579, K-5, Webster, 14580
1095,Webster Schroeder High School,7,Public district,"1,388", 9-12, Webster, 14580
1096,John F Kennedy School,7,Public district,357, K-5, West Babylon, 11704
1097,West Babylon Junior High School,7,Public district,938, 6-8, West Babylon, 11704
1098,Camillus Middle School,7,Public district,402, 6-8, Camillus, 13031
1099,East Hill Elementary School,7,Public district,357, K-5, Camillus, 13031
1100,Split Rock Elementary School,7,Public district,346, K-5, Camillus, 13031
1101,West Genesee Senior High School,7,Public district,"1,585", 9-12, Camillus, 13031
1102,West Hempstead Middle School,7,Public district,415, 6-8, West Hempstead, 11552
1103,Bayview Elementary School,7,Public district,402, K-5, West Islip, 11795
1104,Beach Street Middle School,7,Public district,549, 6-8, West Islip, 11795
1105,Westhampton Beach Elementary School,7,Public district,369, K-5, Westhampton, 11977
1106,Westhampton Beach Senior High School,7,Public district,978, 9-12, Westhampton Beach, 11978
1107,Westmoreland Elementary School,7,Public district,307, K-4, Westmoreland, 13490
1108,Westmoreland High School,7,Public district,271, 9-12, Westmoreland, 13490
1109,Westport Central School,7,Public district,209, K-12, Westport, 12993
1110,Ridgeway School,7,Public district,652, K-5, White Plains, 10605
1111,Deerfield Elementary School,7,Public district,317, K-5, Utica, 13502
1112,Whitesboro Middle School,7,Public district,510, 7-8, Whitesboro, 13492
1113,Whitesboro High School,7,Public district,993, 9-12, Marcy, 13403
1114,Whitesville Central School,7,Public district,203, PK-12, Whitesville, 14897
1115,Dodge Elementary School,7,Public district,503, K-4, East Amherst, 14051
1116,Heim Middle School,7,Public district,674, 5-8, Buffalo, 14221
1117,Maple West Elementary School,7,Public district,625, K-4, Buffalo, 14221
1118,Willsboro Central School,7,Public district,268, PK-12, Willsboro, 12996
1119,Windham Ashland Central School,7,Public district,298, PK-12, Windham, 12496
1120,Hewlett Elementary School,7,Public district,465, 2-5, Hewlett, 11557
1121,Casimir Pulaski School,7,Public district,592, PK-8, Scarsdale, 10583
1122,Montessori School 27,7,Public district,382, PK-6, Yonkers, 10705
1123,Brookside School,7,Public district,444, K-3, Yorktown Heights, 10598
1124,Mildred E Strang Middle School,7,Public district,812, 6-8, Yorktown Heights, 10598
1125,Cuba Elementary School,7,Public district,391, PK-5, Cuba, 14727
1126,Ms 247 Dual Language Middle School,7,Public district,198, 6-8, New York, 10024
1127,Community Action School Ms 258,7,Public district,222, 6-8, New York, 10025
1128,Ps 333 Manhattan School For Children,7,Public district,755, K-8, New York, 10025
1129,Is 381,7,Public district,244, 6-8, Brooklyn, 11210
1130,Sullivan West Elementary School,7,Public district,593, PK-6, Callicoon, 12723
1131,Brooklyn Charter School,7,Public charter,194, K-5, Brooklyn, 11221
1132,Harriet Tubman Charter School,7,Public charter,668, K-8, Bronx, 10456
1133,Icahn Charter School 1,7,Public charter,329, K-8, Bronx, 10457
1134,KIPP Academy Charter School,7,Public charter,"1,075", K-12, Bronx, 10451
1135,Sisulu Walker Charter School Of Harlem,7,Public charter,220, K-5, New York, 10026
1136,Dows Lane (K 3) School,7,Public district,519, K-3, Irvington, 10533
1137,Ps 161 Arthur Ashe School,7,Public district,702, PK-5, Queens, 11419
1138,Ps 212,7,Public district,780, PK-5, Queens, 11372
1139,Ps 6 Cpl Allan F Kivlehan School,7,Public district,541, PK-5, Staten Island, 10307
1140,Red Creek Middle School,7,Public district,191, 6-8, Red Creek, 13143
1141,Sanfordville Elementary School,7,Public district,653, K-4, Warwick, 10990
1142,Family Life Academy Charter School,7,Public charter,303, K-5, Bronx, 10452
1143,The East Village Community School,7,Public district,314, PK-5, New York, 10009
1144,Sunset Park Prep,7,Public district,503, 6-8, Brooklyn, 11232
1145,Akron Middle School,7,Public district,339, 6-8, Akron, 14001
1146,Chenango Valley Middle School,7,Public district,349, 6-8, Binghamton, 13901
1147,Ps 58 School Of Heroes,7,Public district,"1,029", PK-6, Queens, 11378
1148,Ms 137 America S School Of Heroes,7,Public district,"1,888", 6-8, Queens, 11417
1149,PS 150Q Sunnyside,7,Public district,"1,090", PK-6, Queens, 11104
1150,Rocky Point Middle School,7,Public district,731, 6-8, Rocky Point, 11778
1151,Sherman Elementary School,7,Public district,225, PK-6, Sherman, 14781
1152,Amber Charter School,7,Public charter,497, K-5, New York, 10029
1153,Bronx Charter School For The Arts,7,Public charter,309, K-6, Bronx, 10474
1154,KIPP S.T.A.R. Charter School,7,Public charter,922, K-3, New York, 10027
1155,Middle School 223 Laboratory School of Finance and Technology,7,Public district,685, 6-12, Bronx, 10454
1156,Bronx Dance Academy School,7,Public district,269, 6-8, Bronx, 10467
1157,Science Tech And Research High School At Erasmus,7,Public district,543, 6-12, Brooklyn, 11226
1158,Ps Is 208,7,Public district,706, K-8, Queens, 11426
1159,Silver Creek Middle School,7,Public district,253, 5-8, Silver Creek, 14136
1160,City College Academy Of The Arts,7,Public district,600, 6-12, New York, 10040
1161,Vail Farm Elementary School,7,Public district,596, K-5, Lagrangeville, 12540
1162,New School For Leadership And Journalism,7,Public district,739, 6-8, Bronx, 10463
1163,Plainedge Middle School,7,Public district,684, 6-8, Bethpage, 11714
1164,47 the American Sign Language and English Lower School,7,Public district,195, PK-8, New York, 10010
