,school,rating,type,students,grades,city,zip,state,zipcode,returns,single_returns,joint_returns,hoh_returns,agi,total_income,educator_expense_amount,returns_itemized,charitable_contributions
504,Ps 176 Ovington,8,Public district,"1,334", K-5, Brooklyn,11219,NY,11219.0,33810.0,12390.0,17280.0,3730.0,1664409.0,1687679.0,176.0,5000.0,154756.0
505,Ps Is 178 Holliswood,8,Public district,563, PK-8, Queens,11423,NY,11423.0,15380.0,7120.0,4150.0,3730.0,768063.0,776501.0,56.0,5210.0,16641.0
506,The Seeall Academy,8,Public district,"1,129", PK-8, Brooklyn,11204,NY,11204.0,33780.0,14440.0,14620.0,4170.0,1870509.0,1895843.0,200.0,7200.0,146198.0
507,Ps 185 Walter Kassenbrock,8,Public district,650, K-5, Brooklyn,11209,NY,11209.0,34340.0,18770.0,10920.0,3710.0,2660959.0,2695383.0,368.0,13530.0,36022.0
508,Ps 186 Dr Irving A Gladstone,8,Public district,"1,030", K-5, Brooklyn,11214,NY,11214.0,41290.0,19170.0,15480.0,5890.0,1815973.0,1835936.0,210.0,9090.0,18056.0
509,Ps 189 Lincoln Terrace,8,Public district,"1,033", K-8, Brooklyn,11212,NY,11212.0,38960.0,18680.0,3960.0,15540.0,1270618.0,1278075.0,111.0,7760.0,25426.0
510,Jhs 189 Daniel Carter Beard,8,Public district,774, 6-8, Queens,11355,NY,11355.0,52130.0,27660.0,18480.0,5250.0,1511883.0,1534466.0,64.0,6120.0,13150.0
511,Jhs 190 Russell Sage,8,Public district,"1,054", 6-8, Queens,11375,NY,11375.0,35810.0,18770.0,12510.0,3420.0,3511152.0,3561344.0,286.0,18170.0,54116.0
512,Jhs 194 William Carr,8,Public district,"1,247", 6-8, Queens,11357,NY,11357.0,20170.0,9710.0,8220.0,1840.0,1722346.0,1744039.0,219.0,9750.0,27202.0
513,Ps 204 Vince Lombardi,8,Public district,"1,178", PK-5, Brooklyn,11228,NY,11228.0,19910.0,9400.0,7870.0,2230.0,1234775.0,1249744.0,200.0,6640.0,15249.0
514,Ps 207 Elizabeth G Leary,8,Public district,"1,230", PK-8, Brooklyn,11234,NY,11234.0,43010.0,20320.0,11530.0,9950.0,2858693.0,2886964.0,499.0,19460.0,69450.0
515,Ps 207 Rockwood Park,8,Public district,683, PK-8, Queens,11414,NY,11414.0,13420.0,6730.0,4400.0,1960.0,979640.0,987576.0,153.0,6550.0,15485.0
516,Ps 209 Margaret Mead,8,Public district,725, PK-8, Brooklyn,11235,NY,11235.0,39680.0,19680.0,13140.0,5840.0,2391564.0,2423909.0,172.0,11750.0,34828.0
517,Ps 209 Clearview Gardens,8,Public district,584, PK-5, Queens,11357,NY,11357.0,20170.0,9710.0,8220.0,1840.0,1722346.0,1744039.0,219.0,9750.0,27202.0
518,Ps 219 Paul Klapper,8,Public district,640, PK-8, Queens,11367,NY,11367.0,19000.0,8800.0,7110.0,2710.0,1141673.0,1158908.0,127.0,5970.0,37914.0
519,Jhs 220 John J Pershing,8,Public district,"1,539", 6-8, Brooklyn,11220,NY,11220.0,54260.0,26370.0,19240.0,7970.0,1665960.0,1683464.0,140.0,5760.0,12936.0
520,Ps 222 Katherine R Snyder,8,Public district,935, PK-5, Brooklyn,11234,NY,11234.0,43010.0,20320.0,11530.0,9950.0,2858693.0,2886964.0,499.0,19460.0,69450.0
521,Jhs 223 The Montauk,8,Public district,942, 6-8, Brooklyn,11219,NY,11219.0,33810.0,12390.0,17280.0,3730.0,1664409.0,1687679.0,176.0,5000.0,154756.0
522,Is 228 David A Boody,8,Public district,"1,309", 6-8, Brooklyn,11223,NY,11223.0,33330.0,15360.0,12580.0,4780.0,2402425.0,2434456.0,157.0,8230.0,109497.0
523,Ps 229 Emanuel Kaplan,8,Public district,"1,465", PK-5, Queens,11377,NY,11377.0,46020.0,24670.0,13870.0,6320.0,2028614.0,2051011.0,174.0,10830.0,20772.0
524,Ps 253,8,Public district,912, PK-5, Brooklyn,11235,NY,11235.0,39680.0,19680.0,13140.0,5840.0,2391564.0,2423909.0,172.0,11750.0,34828.0
525,Ps 255 Barbara Reing School,8,Public district,931, PK-5, Brooklyn,11229,NY,11229.0,37000.0,17390.0,13640.0,5230.0,2312161.0,2345131.0,300.0,11700.0,62388.0
526,Ps 316 Elijah Stroud,8,Public district,537, PK-5, Brooklyn,11238,NY,11238.0,31680.0,21070.0,5730.0,4090.0,3020929.0,3068519.0,215.0,13960.0,42266.0
527,Nyc Lab High School For Collaborative Studies,8,Public district,496, 9-12, New York,10011,NY,10011.0,30190.0,22290.0,5840.0,1270.0,9080628.0,9207647.0,90.0,20370.0,215873.0
528,School Of The Future High School,8,Public district,744, 6-12, New York,10010,NY,10010.0,17540.0,12730.0,3700.0,680.0,4252196.0,4308450.0,55.0,11150.0,65766.0
529,Nyc Museum School,8,Public district,448, 9-12, New York,10011,NY,10011.0,30190.0,22290.0,5840.0,1270.0,9080628.0,9207647.0,90.0,20370.0,215873.0
530,Ps 56 The Louis Desario School,8,Public district,604, PK-5, Staten Island,10309,NY,10309.0,15270.0,7030.0,6250.0,1660.0,1360570.0,1374902.0,237.0,8620.0,23508.0
531,Ps 380 John Wayne Elementary School,8,Public district,582, PK-5, Brooklyn,11206,NY,11206.0,37300.0,21940.0,6610.0,8170.0,1564849.0,1584502.0,116.0,7240.0,40398.0
532,Ps Is 217 Roosevelt Island,8,Public district,621, PK-8, New York,10044,NY,10044.0,4360.0,2490.0,1340.0,370.0,436619.0,441581.0,23.0,1880.0,5689.0
533,Jhs 104 Simon Baruch,8,Public district,"1,114", 6-8, New York,10010,NY,10010.0,17540.0,12730.0,3700.0,680.0,4252196.0,4308450.0,55.0,11150.0,65766.0
534,Jhs 88 Peter Rouget,8,Public district,"1,355", 6-8, Brooklyn,11215,NY,11215.0,33120.0,18890.0,10820.0,2400.0,4886040.0,4980229.0,329.0,17700.0,70030.0
535,New Windsor School,8,Public district,479, K-5, New Windsor,12553,NY,12553.0,13290.0,6510.0,4260.0,2180.0,875544.0,883754.0,137.0,5350.0,15116.0
536,Newcomb Central School,8,Public district,77, K-12, Newcomb,12852,NY,12852.0,210.0,90.0,90.0,0.0,11756.0,11824.0,0.0,50.0,117.0
537,Birchwood Elementary School,8,Public district,328, K-5, Schenectady,12309,NY,12309.0,15490.0,7090.0,6820.0,1230.0,1568765.0,1592507.0,171.0,8090.0,32772.0
538,Niskayuna High School,8,Public district,"1,407", 9-12, Niskayuna,12309,NY,12309.0,15490.0,7090.0,6820.0,1230.0,1568765.0,1592507.0,171.0,8090.0,32772.0
539,Loudonville School,8,Public district,306, K-6, Albany,12211,NY,12211.0,6090.0,2970.0,2600.0,390.0,827003.0,841043.0,55.0,3230.0,20701.0
540,Shaker High School,8,Public district,"2,010", 9-12, Latham,12110,NY,12110.0,10320.0,5260.0,4000.0,910.0,809832.0,820364.0,87.0,3940.0,13300.0
541,Southgate School,8,Public district,410, K-6, Albany,12211,NY,12211.0,6090.0,2970.0,2600.0,390.0,827003.0,841043.0,55.0,3230.0,20701.0
542,Old Mill Road School,8,Public district,454, K-6, North Merrick,11566,NY,11566.0,18470.0,8390.0,8360.0,1290.0,2306019.0,2344729.0,386.0,11160.0,38595.0
543,North Salem Middle School High School,8,Public district,675, 6-12, North Salem,10560,NY,10560.0,2180.0,970.0,1010.0,160.0,439821.0,449020.0,29.0,1300.0,6935.0
544,Pequenakonck Elementary School,8,Public district,406, K-5, North Salem,10560,NY,10560.0,2180.0,970.0,1010.0,160.0,439821.0,449020.0,29.0,1300.0,6935.0
545,East Northport Middle School,8,Public district,635, 6-8, East Northport,11731,NY,11731.0,15480.0,7420.0,6600.0,1140.0,1537885.0,1557153.0,277.0,8600.0,24591.0
546,Northport Senior High School,8,Public district,"1,977", 9-12, Northport,11768,NY,11768.0,11130.0,5290.0,4990.0,620.0,1795711.0,1827743.0,186.0,6760.0,26944.0
547,Upper Nyack School,8,Public district,411, K-5, Nyack,10960,NY,10960.0,7800.0,4230.0,2370.0,1000.0,881577.0,899551.0,92.0,3570.0,14378.0
548,School 9e Boardman Elementary School,8,Public district,328, 1-6, Oceanside,11572,NY,11572.0,16200.0,7730.0,6710.0,1370.0,1568227.0,1590327.0,340.0,9150.0,26239.0
549,Onteora High School,8,Public district,430, 9-12, Boiceville,12412,NY,12412.0,330.0,180.0,120.0,40.0,19983.0,20288.0,0.0,110.0,133.0
550,Eggert Road Elementary School,8,Public district,513, K-5, Orchard Park,14127,NY,14127.0,15990.0,7750.0,7050.0,920.0,1704602.0,1736040.0,172.0,7250.0,30701.0
551,Oriskany Junior Senior High School,8,Public district,292, 7-12, Oriskany,13424,NY,13424.0,1120.0,560.0,420.0,120.0,62942.0,63673.0,11.0,310.0,430.0
552,Panama K 6 School,8,Public district,260, PK-6, Panama,14767,NY,14767.0,720.0,280.0,360.0,60.0,31225.0,31472.0,0.0,90.0,245.0
553,Pavilion Junior Senior High School,8,Public district,361, 6-12, Pavilion,14525,NY,14525.0,1320.0,590.0,580.0,120.0,68260.0,69740.0,6.0,300.0,626.0
554,Pawling High School,8,Public district,371, 9-12, Pawling,12564,NY,12564.0,3510.0,1710.0,1420.0,330.0,339710.0,345108.0,47.0,1710.0,4890.0
555,Evans Park School,8,Public district,312, K-4, Pearl River,10965,NY,10965.0,8020.0,3940.0,3390.0,530.0,833497.0,841264.0,132.0,4470.0,14588.0
556,Franklin Avenue School,8,Public district,318, K-4, Pearl River,10965,NY,10965.0,8020.0,3940.0,3390.0,530.0,833497.0,841264.0,132.0,4470.0,14588.0
557,Pearl River High School,8,Public district,"1,003", 8-12, Pearl River,10965,NY,10965.0,8020.0,3940.0,3390.0,530.0,833497.0,841264.0,132.0,4470.0,14588.0
558,Pelham Memorial High School,8,Public district,892, 9-12, Village of Pelham,10803,NY,10803.0,6130.0,2660.0,2760.0,590.0,1671988.0,1702663.0,69.0,3750.0,24251.0
559,Bay Trail Middle School,8,Public district,"1,048", 6-8, Penfield,14526,NY,14526.0,10740.0,4950.0,4810.0,800.0,955111.0,971436.0,134.0,5420.0,16828.0
560,Harris Hill Elementary School,8,Public district,471, K-5, Penfield,14526,NY,14526.0,10740.0,4950.0,4810.0,800.0,955111.0,971436.0,134.0,5420.0,16828.0
561,Perry High School,8,Public district,363, 7-12, Perry,14530,NY,14530.0,2460.0,1220.0,930.0,280.0,125630.0,128988.0,20.0,450.0,1508.0
562,Plainedge Senior High School,8,Public district,982, 9-12, Massapequa,11758,NY,11758.0,29480.0,14630.0,11720.0,2450.0,3117215.0,3152049.0,486.0,16640.0,50431.0
563,Plainview Old Bethpage Middle School,8,Public district,822, 5-8, Plainview,11803,NY,11803.0,14440.0,6230.0,7190.0,730.0,2095672.0,2130695.0,295.0,9050.0,42074.0
564,Bedford Road School,8,Public district,581, K-4, Pleasantville,10570,NY,10570.0,6050.0,2740.0,2790.0,380.0,1136182.0,1160169.0,93.0,3640.0,17501.0
565,Pocantico Hills Central School,8,Public district,322, PK-8, Tarrytown,10591,NY,10591.0,12030.0,5930.0,3870.0,1940.0,1580060.0,1602919.0,120.0,5300.0,35191.0
566,Earl L Vandermeulen High School,8,Public district,383, 9-12, Port Jefferson,11777,NY,11777.0,4810.0,2440.0,1810.0,370.0,888997.0,899681.0,79.0,2650.0,12349.0
567,Port Jefferson Elementary School,8,Public district,485, PK-6, Port Jefferson,11777,NY,11777.0,4810.0,2440.0,1810.0,370.0,888997.0,899681.0,79.0,2650.0,12349.0
568,Carrie Palmer Weber Middle School,8,Public district,"1,231", 6-8, Port Washington,11050,NY,11050.0,15210.0,7060.0,6610.0,1200.0,3392018.0,3456587.0,147.0,8460.0,80907.0
569,John Philip Sousa Elementary School,8,Public district,591, K-5, Sands Point,11050,NY,11050.0,15210.0,7060.0,6610.0,1200.0,3392018.0,3456587.0,147.0,8460.0,80907.0
570,Portville Junior Senior High School,8,Public district,450, 7-12, Portville,14770,NY,14770.0,1320.0,630.0,540.0,150.0,64690.0,65348.0,12.0,220.0,524.0
571,Red Hook Senior High School,8,Public district,692, 9-12, Red Hook,12571,NY,12571.0,4630.0,2230.0,1920.0,390.0,380766.0,387328.0,65.0,2040.0,5413.0
572,Wilson School,8,Public district,419, K-5, Rockville Centre,11570,NY,11570.0,14380.0,7170.0,5670.0,1260.0,2204870.0,2237716.0,258.0,8310.0,38814.0
573,David B Crane Elementary School,8,Public district,372, K-3, Rochester,14623,NY,14623.0,9490.0,5610.0,2810.0,870.0,442976.0,447627.0,46.0,2210.0,4597.0
574,Monica B Leary Elementary School,8,Public district,407, K-3, Rush,14543,NY,14543.0,1700.0,780.0,800.0,90.0,144318.0,146227.0,10.0,790.0,2298.0
575,Midland School,8,Public district,551, K-5, Rye,10580,NY,10580.0,8130.0,3590.0,3960.0,420.0,5088491.0,5146778.0,53.0,5220.0,188179.0
576,Osborn School,8,Public district,580, K-5, Rye,10580,NY,10580.0,8130.0,3590.0,3960.0,420.0,5088491.0,5146778.0,53.0,5220.0,188179.0
577,F E Bellows Elementary School,8,Public district,389, 3-5, Mamaroneck,10543,NY,10543.0,9730.0,4590.0,3860.0,1080.0,1833028.0,1860877.0,113.0,4860.0,72259.0
578,Rye Neck Senior High School,8,Public district,459, 9-12, Mamaroneck,10543,NY,10543.0,9730.0,4590.0,3860.0,1080.0,1833028.0,1860877.0,113.0,4860.0,72259.0
579,Dorothy Nolan Elementary School,8,Public district,773, K-5, Saratoga Springs,12866,NY,12866.0,19990.0,10800.0,7440.0,1390.0,4348164.0,4394842.0,187.0,8410.0,157490.0
580,Lake Avenue Elementary School,8,Public district,403, K-5, Saratoga Springs,12866,NY,12866.0,19990.0,10800.0,7440.0,1390.0,4348164.0,4394842.0,187.0,8410.0,157490.0
581,Cherry Avenue Elementary School,8,Public district,421, K-5, West Sayville,11796,NY,11796.0,1950.0,960.0,790.0,150.0,167363.0,168663.0,61.0,1080.0,2602.0
582,Sayville High School,8,Public district,987, 9-12, West Sayville,11796,NY,11796.0,1950.0,960.0,790.0,150.0,167363.0,168663.0,61.0,1080.0,2602.0
583,Edgewood School,8,Public district,401, K-5, Scarsdale,10583,NY,10583.0,18940.0,7970.0,9630.0,1000.0,7507560.0,7640109.0,190.0,12810.0,172186.0
584,Fox Meadow School,8,Public district,473, K-5, Scarsdale,10583,NY,10583.0,18940.0,7970.0,9630.0,1000.0,7507560.0,7640109.0,190.0,12810.0,172186.0
585,Sea Cliff Elementary School,8,Public district,336, K-5, Sea Cliff,11579,NY,11579.0,2640.0,1290.0,1120.0,180.0,408943.0,416434.0,40.0,1580.0,6165.0
586,Seaford Middle School,8,Public district,546, 6-8, Seaford,11783,NY,11783.0,11480.0,5600.0,4880.0,760.0,1109489.0,1121118.0,224.0,6630.0,17283.0
587,Seaford Senior High School,8,Public district,711, 9-12, Seaford,11783,NY,11783.0,11480.0,5600.0,4880.0,760.0,1109489.0,1121118.0,224.0,6630.0,17283.0
588,H Frank Carey High School,8,Public district,"1,694", 7-12, Franklin Square,11010,NY,11010.0,12830.0,6330.0,4920.0,1300.0,1001630.0,1011151.0,181.0,6640.0,15536.0
589,Gowana Middle School,8,Public district,751, 6-8, Clifton Park,12065,NY,12065.0,22970.0,11320.0,9350.0,1840.0,1958302.0,1983678.0,221.0,9530.0,27459.0
590,Skano Elementary School,8,Public district,549, K-5, Clifton Park,12065,NY,12065.0,22970.0,11320.0,9350.0,1840.0,1958302.0,1983678.0,221.0,9530.0,27459.0
591,Tesago Elementary School,8,Public district,385, K-5, Clifton Park,12065,NY,12065.0,22970.0,11320.0,9350.0,1840.0,1958302.0,1983678.0,221.0,9530.0,27459.0
592,Shoreham Wading River High School,8,Public district,795, 9-12, Wading River,11792,NY,11792.0,4380.0,2030.0,1930.0,320.0,444610.0,451333.0,102.0,2560.0,6940.0
593,Somers Senior High School,8,Public district,"1,086", 9-12, Lincolndale,10540,,,,,,,,,,,
594,Saddlewood Elementary School,8,Public district,390, PK-4, Albany,12205,NY,12205.0,14990.0,8240.0,4830.0,1570.0,868857.0,877078.0,92.0,4820.0,10651.0
595,Leo Bernabi School,8,Public district,406, K-5, Spencerport,14559,NY,14559.0,9160.0,4210.0,4040.0,740.0,632391.0,640915.0,114.0,3790.0,11115.0
596,Terry Taylor Elementary School,8,Public district,384, K-5, Spencerport,14559,NY,14559.0,9160.0,4210.0,4040.0,740.0,632391.0,640915.0,114.0,3790.0,11115.0
597,Paul J Gelinas Junior High School,8,Public district,781, 7-9, Setauket- East Setauket,11733,NY,11733.0,8840.0,4080.0,3970.0,560.0,2545572.0,2572287.0,168.0,5400.0,44847.0
598,Robert Cushman Murphy Junior High School,8,Public district,752, 7-9, Stony Brook,11790,NY,11790.0,6900.0,3300.0,3050.0,390.0,861117.0,869331.0,156.0,3990.0,13985.0
599,Ward Melville Senior High School,8,Public district,"1,759", 9-12, Setauket- East Setauket,11733,NY,11733.0,8840.0,4080.0,3970.0,560.0,2545572.0,2572287.0,168.0,5400.0,44847.0
600,Suffern Senior High School,8,Public district,"1,451", 9-12, Suffern,10901,NY,10901.0,11490.0,5510.0,4570.0,1180.0,1394853.0,1417029.0,149.0,5930.0,47822.0
601,H B Thompson Middle School,8,Public district,852, 6-8, Syosset,11791,NY,11791.0,12140.0,5090.0,6180.0,610.0,2593232.0,2644313.0,142.0,7650.0,49897.0
602,Village Elementary School,8,Public district,399, K-5, Syosset,11791,NY,11791.0,12140.0,5090.0,6180.0,610.0,2593232.0,2644313.0,142.0,7650.0,49897.0
603,William E Cottle School,8,Public district,607, K-5, Eastchester,10709,NY,10709.0,4860.0,2330.0,2020.0,410.0,719892.0,731406.0,86.0,2810.0,9942.0
604,Brooklyn Avenue School,8,Public district,331, K-6, Valley Stream,11581,NY,11581.0,11070.0,4980.0,4180.0,1650.0,999682.0,1013435.0,131.0,5920.0,22438.0
605,Forest Road School,8,Public district,364, K-6, Valley Stream,11581,NY,11581.0,11070.0,4980.0,4180.0,1650.0,999682.0,1013435.0,131.0,5920.0,22438.0
606,Shaw Avenue School,8,Public district,764, K-6, Valley Stream,11580,NY,11580.0,22430.0,10590.0,6840.0,4360.0,1529625.0,1541966.0,189.0,10830.0,33566.0
607,Valley Stream South High School,8,Public district,"1,287", 7-12, Valley Stream,11581,NY,11581.0,11070.0,4980.0,4180.0,1650.0,999682.0,1013435.0,131.0,5920.0,22438.0
608,Vestal Senior High School,8,Public district,"1,033", 9-12, Vestal,13850,NY,13850.0,9940.0,4710.0,4340.0,710.0,806571.0,818461.0,91.0,3700.0,14240.0
609,Forest Lake School,8,Public district,363, K-5, Wantagh,11793,NY,11793.0,17010.0,8220.0,7350.0,1090.0,1732775.0,1750498.0,369.0,9910.0,27306.0
610,Wantagh Middle School,8,Public district,669, 6-8, Wantagh,11793,NY,11793.0,17010.0,8220.0,7350.0,1090.0,1732775.0,1750498.0,369.0,9910.0,27306.0
611,Park Avenue Elementary School,8,Public district,477, K-4, Warwick,10990,NY,10990.0,9930.0,4560.0,4300.0,870.0,1016185.0,1032248.0,111.0,5270.0,15108.0
612,Warwick Valley High School,8,Public district,"1,294", 9-12, Warwick,10990,NY,10990.0,9930.0,4560.0,4300.0,870.0,1016185.0,1032248.0,111.0,5270.0,15108.0
613,Willink Middle School,8,Public district,956, 6-8, Webster,14580,NY,14580.0,27940.0,13430.0,12000.0,2060.0,2249401.0,2283561.0,317.0,12520.0,38099.0
614,Paul J Bellew Elementary School,8,Public district,450, K-5, West Islip,11795,NY,11795.0,13240.0,6390.0,5490.0,1010.0,1334342.0,1352046.0,248.0,7520.0,20123.0
615,West Islip Senior High School,8,Public district,"1,438", 9-12, West Islip,11795,NY,11795.0,13240.0,6390.0,5490.0,1010.0,1334342.0,1352046.0,248.0,7520.0,20123.0
616,Westfield Middle School,8,Public district,145, PK, Westfield,14787,NY,14787.0,2200.0,1050.0,880.0,220.0,106503.0,108430.0,16.0,420.0,1366.0
617,Harts Hill School,8,Public district,367, K-5, Whitesboro,13492,NY,13492.0,5960.0,3000.0,2290.0,560.0,399662.0,404725.0,72.0,1920.0,5448.0
618,Parkway Middle School,8,Public district,248, 6, Whitesboro,13492,NY,13492.0,5960.0,3000.0,2290.0,560.0,399662.0,404725.0,72.0,1920.0,5448.0
619,Country Parkway Elementary School,8,Public district,520, K-4, Buffalo,14221,NY,14221.0,27690.0,13750.0,11690.0,1660.0,2667924.0,2718954.0,314.0,12930.0,53625.0
620,Mill Middle School,8,Public district,840, 5-8, Buffalo,14221,NY,14221.0,27690.0,13750.0,11690.0,1660.0,2667924.0,2718954.0,314.0,12930.0,53625.0
621,Williamsville North High School,8,Public district,"1,383", 9-12, Williamsville,14221,NY,14221.0,27690.0,13750.0,11690.0,1660.0,2667924.0,2718954.0,314.0,12930.0,53625.0
622,Williamsville South High School,8,Public district,974, 9-12, Williamsville,14221,NY,14221.0,27690.0,13750.0,11690.0,1660.0,2667924.0,2718954.0,314.0,12930.0,53625.0
623,Casey Middle School,8,Public district,675, 5-8, East Amherst,14051,NY,14051.0,10470.0,4670.0,5090.0,520.0,1195664.0,1222060.0,137.0,5510.0,22208.0
624,George W Hewlett High School,8,Public district,"1,072", 9-12, Hewlett,11557,NY,11557.0,4170.0,1890.0,1820.0,370.0,839196.0,859276.0,57.0,2480.0,19744.0
625,Ogden Elementary School,8,Public district,358, 2-5, Valley Stream,11581,NY,11581.0,11070.0,4980.0,4180.0,1650.0,999682.0,1013435.0,131.0,5920.0,22438.0
626,Woodmere Middle School,8,Public district,692, 6-8, Hewlett,11557,NY,11557.0,4170.0,1890.0,1820.0,370.0,839196.0,859276.0,57.0,2480.0,19744.0
627,Ms 101 Edward R Byrne,8,Public district,529, 6-8, Bronx,10465,NY,10465.0,19810.0,9970.0,4870.0,4580.0,1247042.0,1254470.0,214.0,8250.0,19721.0
628,Ms 260 Clinton School Writers And Artists,8,Public district,605, 6-11, New York,10003,NY,10003.0,28950.0,22020.0,5340.0,870.0,8764798.0,8866747.0,81.0,18060.0,362239.0
629,Sullivan West High School At Lake Huntington,8,Public district,496, 7-12, Lake Huntington,12752,NY,12752.0,150.0,80.0,50.0,20.0,8799.0,8904.0,0.0,40.0,62.0
630,Our World Neighborhood Charter School,8,Public charter,733, K-8, Queens,11106,NY,11106.0,22030.0,13970.0,5070.0,2450.0,1294542.0,1309285.0,114.0,6760.0,12126.0
631,Intermediate Education Center,8,Public district,408, 3-5, Youngstown,14174,NY,14174.0,2930.0,1330.0,1280.0,240.0,232975.0,236471.0,30.0,1070.0,3257.0
632,Ps 69 Vincent D Grippo School,8,Public district,783, K-5, Brooklyn,11220,NY,11220.0,54260.0,26370.0,19240.0,7970.0,1665960.0,1683464.0,140.0,5760.0,12936.0
633,Blind Brook Rye Middle School,8,Public district,343, 6-8, Rye Brook,10573,NY,10573.0,19050.0,9280.0,6530.0,2790.0,1939487.0,1970634.0,140.0,7440.0,28794.0
634,Bronx Charter School For Better Learning,8,Public charter,537, K-5, Bronx,10466,NY,10466.0,33180.0,16110.0,4520.0,11650.0,1334494.0,1342364.0,143.0,9650.0,30904.0
635,Bedford Academy High School,8,Public district,368, 9-12, Brooklyn,11216,NY,11216.0,29770.0,20400.0,3160.0,5580.0,1633041.0,1655885.0,168.0,8550.0,20526.0
636,All City Leadership Secondary School,8,Public district,435, 6-12, Brooklyn,11237,NY,11237.0,23930.0,15590.0,3520.0,4460.0,956073.0,969304.0,72.0,4330.0,6250.0
637,Cornwall Middle School,8,Public district,"1,018", 5-8, Cornwall,12518,NY,12518.0,3040.0,1520.0,1150.0,310.0,266032.0,269643.0,50.0,1400.0,4381.0
638,Ellicottville Elementary School,8,Public district,308, PK-5, Ellicottville,14731,NY,14731.0,760.0,410.0,280.0,50.0,55077.0,56338.0,9.0,280.0,684.0
639,Starpoint Middle School,8,Public district,660, 6-8, Lockport,14094,NY,14094.0,25000.0,12490.0,9190.0,2780.0,1361877.0,1377301.0,212.0,6820.0,17876.0
640,Jonas Bronck Academy,8,Public district,268, 6-8, Bronx,10458,NY,10458.0,34640.0,17740.0,4990.0,11500.0,1036839.0,1045478.0,101.0,5250.0,11343.0
641,Girls Prep Lower East Side,8,Public charter,368, K-8, New York,10002,NY,10002.0,42290.0,25770.0,10170.0,5480.0,2489499.0,2523419.0,118.0,10390.0,32728.0
642,Manhattan Charter School,8,Public charter,262, K-5, New York,10002,NY,10002.0,42290.0,25770.0,10170.0,5480.0,2489499.0,2523419.0,118.0,10390.0,32728.0
643,Harlem Children S Zone Promise Academy Ii Charter,8,Public charter,"1,002", K-12, New York,10035,NY,10035.0,15420.0,9040.0,1990.0,4100.0,752324.0,760043.0,80.0,3620.0,9432.0
644,Harlem Children's Zone Promise Academy Charter School,8,Public charter,"1,154", K-12, New York,10027,NY,10027.0,27760.0,16980.0,4180.0,6000.0,1805900.0,1832013.0,161.0,7970.0,29205.0
645,Kipp Infinity Charter School,8,Public charter,"1,136", K-12, New York,10027,NY,10027.0,27760.0,16980.0,4180.0,6000.0,1805900.0,1832013.0,161.0,7970.0,29205.0
646,Csi High School For International Studies,8,Public district,492, 9-12, Staten Island,10314,NY,10314.0,41190.0,19170.0,15910.0,5190.0,2968189.0,2996809.0,510.0,19420.0,60501.0
647,Mott Hall III,8,Public district,364, 6-8, Bronx,10456,NY,10456.0,40930.0,20310.0,4610.0,15510.0,1130812.0,1140125.0,104.0,5820.0,14620.0
648,Bronx Charter School For Excellence,8,Public charter,766, K-8, Bronx,10462,NY,10462.0,40060.0,19870.0,8410.0,10930.0,1723714.0,1736294.0,241.0,10280.0,26289.0
649,Excellence Boys Charter School Of Bedford Stuyvesa,8,Public charter,638, K-8, Brooklyn,11233,NY,11233.0,32850.0,18180.0,3330.0,10660.0,1375259.0,1388086.0,166.0,8280.0,25165.0
650,Nesaquake Middle School,8,Public district,609, 6-8, Saint James,11780,NY,11780.0,8020.0,3970.0,3410.0,500.0,1861318.0,1880695.0,123.0,4480.0,45146.0
651,Accompsett Middle School,8,Public district,604, 6-8, Smithtown,11787,NY,11787.0,17690.0,8210.0,7860.0,1240.0,2079998.0,2105532.0,316.0,10340.0,35765.0
652,Charter School Of Educational Excellence,8,Public charter,698, K-8, Yonkers,10701,NY,10701.0,29360.0,14150.0,5940.0,8720.0,1443479.0,1456853.0,186.0,8630.0,23284.0
653,Achievement First Bushwick Charter School,8,Public charter,"1,113", K-12, Brooklyn,11237,NY,11237.0,23930.0,15590.0,3520.0,4460.0,956073.0,969304.0,72.0,4330.0,6250.0
654,York Early College Academy,8,Public district,641, 6-12, Queens,11433,NY,11433.0,16780.0,7950.0,3050.0,5410.0,632011.0,636000.0,57.0,4850.0,13461.0
655,Voorheesville Middle School,8,Public district,255, 6-8, Voorheesville,12186,NY,12186.0,3440.0,1570.0,1560.0,250.0,340613.0,346199.0,30.0,1630.0,4667.0
656,Civic Leadership Academy,8,Public district,529, 9-12, Queens,11373,NY,11373.0,50920.0,25540.0,16430.0,7900.0,1844513.0,1865047.0,121.0,8700.0,17527.0
657,Marsh Avenue School For Expeditionary Learning,8,Public district,459, 6-8, Staten Island,10314,NY,10314.0,41190.0,19170.0,15910.0,5190.0,2968189.0,2996809.0,510.0,19420.0,60501.0
658,Dream Charter School,8,Public charter,642, K-9, New York,10029,NY,10029.0,35480.0,20610.0,5150.0,8940.0,1890385.0,1914986.0,132.0,7180.0,23266.0
659,Bedford Stuyvesant Collegiate Charter School,8,Public charter,477, 5-8, Brooklyn,11221,NY,11221.0,41130.0,26230.0,4520.0,9670.0,1764282.0,1784388.0,178.0,9370.0,21278.0
660,Achievement First Brownsville Charter School,8,Public charter,"1,038", K-10, Brooklyn,11233,NY,11233.0,32850.0,18180.0,3330.0,10660.0,1375259.0,1388086.0,166.0,8280.0,25165.0
