,school,rating,type,students,grades,city,zip,state,zipcode,returns,single_returns,joint_returns,hoh_returns,agi,total_income,educator_expense_amount,returns_itemized,charitable_contributions
35,Ps 183 Robert L Stevenson,10,Public district,589, PK-5, New York,10065,NY,10065.0,15920.0,10310.0,4450.0,570.0,10451654.0,10550844.0,55.0,10640.0,523901.0
36,Ps 184 Flushing Manor,10,Public district,513, PK-5, Queens,11357,NY,11357.0,20170.0,9710.0,8220.0,1840.0,1722346.0,1744039.0,219.0,9750.0,27202.0
37,Ps 186 Castlewood,10,Public district,384, PK-5, Queens,11426,NY,11426.0,9280.0,4370.0,3720.0,960.0,599764.0,605551.0,83.0,3960.0,9852.0
38,Ps 193 Alfred J Kennedy,10,Public district,590, PK-5, Queens,11357,NY,11357.0,20170.0,9710.0,8220.0,1840.0,1722346.0,1744039.0,219.0,9750.0,27202.0
39,Ps 196 Grand Central Parkway,10,Public district,996, PK-5, Queens,11375,NY,11375.0,35810.0,18770.0,12510.0,3420.0,3511152.0,3561344.0,286.0,18170.0,54116.0
40,Jhs 201 The Dyker Heights,10,Public district,"1,584", 6-8, Brooklyn,11228,NY,11228.0,19910.0,9400.0,7870.0,2230.0,1234775.0,1249744.0,200.0,6640.0,15249.0
41,Ps 203 Oakland Gardens,10,Public district,936, PK-5, Queens,11364,NY,11364.0,17950.0,8400.0,7350.0,1790.0,1267333.0,1282415.0,169.0,7850.0,19061.0
42,Ps 205 Alexander Graham Bell,10,Public district,327, PK-5, Queens,11364,NY,11364.0,17950.0,8400.0,7350.0,1790.0,1267333.0,1282415.0,169.0,7850.0,19061.0
43,Jhs 216 George J Ryan,10,Public district,"1,458", 6-8, Queens,11365,NY,11365.0,21610.0,10150.0,7960.0,3090.0,1221139.0,1235166.0,109.0,7080.0,20277.0
44,Ps 221 The North Hills School,10,Public district,626, PK-5, Queens,11362,NY,11362.0,8980.0,4330.0,3750.0,720.0,744726.0,754555.0,106.0,4430.0,11967.0
45,Ps 321 William Penn,10,Public district,"1,417", K-5, Brooklyn,11215,NY,11215.0,33120.0,18890.0,10820.0,2400.0,4886040.0,4980229.0,329.0,17700.0,70030.0
46,Stuyvesant High School,10,Public district,"3,334", 9-12, New York,10282,NY,10282.0,2390.0,1040.0,1160.0,130.0,1472965.0,1485148.0,0.0,1910.0,15484.0
47,I.S. 98 Bay Academy,10,Public district,"1,532", 6-8, Brooklyn,11235,NY,11235.0,39680.0,19680.0,13140.0,5840.0,2391564.0,2423909.0,172.0,11750.0,34828.0
48,I.S. 227 Louis Armstrong Intermediate School,10,Public district,"1,583", 5-8, Queens,11369,NY,11369.0,18230.0,8750.0,4800.0,4370.0,703999.0,710358.0,55.0,4740.0,9270.0
49,Ps 89,10,Public district,432, PK-5, New York,10282,NY,10282.0,2390.0,1040.0,1160.0,130.0,1472965.0,1485148.0,0.0,1910.0,15484.0
50,Ps 234 Independence School,10,Public district,642, K-5, New York,10007,NY,10007.0,3640.0,2130.0,1240.0,140.0,2494873.0,2523903.0,8.0,2660.0,34408.0
51,Townsend Harris High School,10,Public district,"1,144", 9-12, Queens,11367,NY,11367.0,19000.0,8800.0,7110.0,2710.0,1141673.0,1158908.0,127.0,5970.0,37914.0
52,Prospect Hill School,10,Public district,317, K-5, Pelham Manor,10803,NY,10803.0,6130.0,2660.0,2760.0,590.0,1671988.0,1702663.0,69.0,3750.0,24251.0
53,Cobbles Elementary School,10,Public district,522, K-5, Penfield,14526,NY,14526.0,10740.0,4950.0,4810.0,800.0,955111.0,971436.0,134.0,5420.0,16828.0
54,Pittsford Mendon High School,10,Public district,"1,017", 9-12, Pittsford,14534,NY,14534.0,16370.0,6840.0,8370.0,840.0,2621973.0,2674923.0,188.0,9940.0,82794.0
55,Mendon Center Elementary School,10,Public district,738, K-5, Pittsford,14534,NY,14534.0,16370.0,6840.0,8370.0,840.0,2621973.0,2674923.0,188.0,9940.0,82794.0
56,Blind Brook High School,10,Public district,498, 9-12, Rye Brook,10573,NY,10573.0,19050.0,9280.0,6530.0,2790.0,1939487.0,1970634.0,140.0,7440.0,28794.0
57,Harbor Hill School,10,Public district,494, PK-5, Greenvale,11548,NY,11548.0,700.0,350.0,270.0,60.0,140843.0,142281.0,0.0,360.0,3513.0
58,Roslyn Middle School,10,Public district,756, 6-8, Roslyn Heights,11577,NY,11577.0,5920.0,2570.0,2820.0,400.0,1160487.0,1184059.0,63.0,3680.0,20218.0
59,Greenacres School,10,Public district,369, K-5, Scarsdale,10583,NY,10583.0,18940.0,7970.0,9630.0,1000.0,7507560.0,7640109.0,190.0,12810.0,172186.0
60,Heathcote School,10,Public district,391, K-5, Scarsdale,10583,NY,10583.0,18940.0,7970.0,9630.0,1000.0,7507560.0,7640109.0,190.0,12810.0,172186.0
61,Scarsdale Senior High School,10,Public district,"1,517", 9-12, Scarsdale,10583,NY,10583.0,18940.0,7970.0,9630.0,1000.0,7507560.0,7640109.0,190.0,12810.0,172186.0
62,Glen Head Elementary School,10,Public district,346, K-5, Glen Head,11545,NY,11545.0,6010.0,2810.0,2790.0,310.0,1996087.0,2029149.0,79.0,3690.0,40803.0
63,Glenwood Landing Elementary School,10,Public district,442, K-5, Glen Head,11545,NY,11545.0,6010.0,2810.0,2790.0,310.0,1996087.0,2029149.0,79.0,3690.0,40803.0
64,North Shore Middle School,10,Public district,620, 6-8, Glenwood Landing,11547,,,,,,,,,,,
65,Chango Elementary School,10,Public district,541, K-5, Ballston Lake,12019,NY,12019.0,8050.0,3570.0,3770.0,550.0,732927.0,742239.0,97.0,3880.0,10119.0
66,Baylis Elementary School,10,Public district,450, K-5, Plainview,11803,NY,11803.0,14440.0,6230.0,7190.0,730.0,2095672.0,2130695.0,295.0,9050.0,42074.0
67,Berry Hill Elementary School,10,Public district,394, K-5, Syosset,11791,NY,11791.0,12140.0,5090.0,6180.0,610.0,2593232.0,2644313.0,142.0,7650.0,49897.0
68,South Grove Elementary School,10,Public district,456, K-5, Syosset,11791,NY,11791.0,12140.0,5090.0,6180.0,610.0,2593232.0,2644313.0,142.0,7650.0,49897.0
69,Mandalay School,10,Public district,262, K-5, Wantagh,11793,NY,11793.0,17010.0,8220.0,7350.0,1090.0,1732775.0,1750498.0,369.0,9910.0,27306.0
70,Ps 77 Lower Lab School,10,Public district,357, K-5, New York,10128,NY,10128.0,33300.0,20900.0,9500.0,1850.0,12783790.0,12952497.0,185.0,20200.0,375425.0
71,Ms 255 Salk School Of Science,10,Public district,387, 6-8, New York,10003,NY,10003.0,28950.0,22020.0,5340.0,870.0,8764798.0,8866747.0,81.0,18060.0,362239.0
72,East Side Middle School,10,Public district,449, 6-8, New York,10128,NY,10128.0,33300.0,20900.0,9500.0,1850.0,12783790.0,12952497.0,185.0,20200.0,375425.0
73,Queens College School For Math Science And Techno,10,Public district,496, PK-8, Queens,11367,NY,11367.0,19000.0,8800.0,7110.0,2710.0,1141673.0,1158908.0,127.0,5970.0,37914.0
74,Staten Island Technical High School,10,Public district,"1,320", 9-12, Staten Island,10306,NY,10306.0,27370.0,12900.0,10390.0,3510.0,2118227.0,2137092.0,314.0,13000.0,35460.0
75,Eleanor Roosevelt High School,10,Public district,538, 9-12, New York,10021,NY,10021.0,23350.0,15060.0,6660.0,770.0,14303821.0,14438493.0,86.0,16210.0,666043.0
76,Millennium High School,10,Public district,668, 9-12, New York,10004,NY,10004.0,2450.0,1440.0,790.0,140.0,931468.0,943900.0,0.0,1690.0,18710.0
77,Ballet Tech Nyc Ps For Dance,10,Public district,139, 4-8, New York,10003,NY,10003.0,28950.0,22020.0,5340.0,870.0,8764798.0,8866747.0,81.0,18060.0,362239.0
78,High School Of American Studies At Lehman College,10,Public district,399, 9-12, Bronx,10468,NY,10468.0,36190.0,18800.0,5050.0,11840.0,1130171.0,1139152.0,119.0,6090.0,13722.0
79,Queens High School For The Sciences At York Colleg,10,Public district,474, 9-12, Queens,11433,NY,11433.0,16780.0,7950.0,3050.0,5410.0,632011.0,636000.0,57.0,4850.0,13461.0
80,The Math And Science Exploratory School,10,Public district,524, 6-8, Brooklyn,11217,NY,11217.0,20720.0,13470.0,4560.0,2170.0,2851362.0,2897328.0,118.0,10700.0,33920.0
81,New Voices School Of Academic And Creative Arts,10,Public district,569, 6-8, Brooklyn,11215,NY,11215.0,33120.0,18890.0,10820.0,2400.0,4886040.0,4980229.0,329.0,17700.0,70030.0
82,High School For Dual Language And Asian Studies,10,Public district,396, 9-12, New York,10002,NY,10002.0,42290.0,25770.0,10170.0,5480.0,2489499.0,2523419.0,118.0,10390.0,32728.0
83,Tag Young Scholars,10,Public district,576, K-8, New York,10029,NY,10029.0,35480.0,20610.0,5150.0,8940.0,1890385.0,1914986.0,132.0,7180.0,23266.0
84,Brooklyn Latin School,10,Public district,681, 9-12, Brooklyn,11206,NY,11206.0,37300.0,21940.0,6610.0,8170.0,1564849.0,1584502.0,116.0,7240.0,40398.0
85,Icahn Charter School 2,10,Public charter,320, K-8, Bronx,10462,NY,10462.0,40060.0,19870.0,8410.0,10930.0,1723714.0,1736294.0,241.0,10280.0,26289.0
86,High School Math Science And Engineering At Ccny,10,Public district,500, 9-12, New York,10031,NY,10031.0,29540.0,19210.0,3600.0,6150.0,1283477.0,1300294.0,149.0,6370.0,15006.0
87,Battery Park City School,10,Public district,822, K-8, New York,10280,NY,10280.0,4240.0,2430.0,1430.0,240.0,921774.0,935827.0,13.0,3120.0,12227.0
88,Spruce Street School,10,Public district,539, PK-8, New York,10038,NY,10038.0,12560.0,8530.0,2700.0,1020.0,1767832.0,1788906.0,34.0,6080.0,17777.0
89,The Active Learning Elementary School,10,Public district,460, PK-3, Queens,11355,NY,11355.0,52130.0,27660.0,18480.0,5250.0,1511883.0,1534466.0,64.0,6120.0,13150.0
90,Success Academy Charter School-Harlem 2,10,Public charter,755, K-4, New York,10035,NY,10035.0,15420.0,9040.0,1990.0,4100.0,752324.0,760043.0,80.0,3620.0,9432.0
91,Success Academy Bronx 2,10,Public charter,789, K-8, Bronx,10456,NY,10456.0,40930.0,20310.0,4610.0,15510.0,1130812.0,1140125.0,104.0,5820.0,14620.0
92,Ps 748 Brooklyn School For Global Scholars,10,Public district,546, K-5, Brooklyn,11214,NY,11214.0,41290.0,19170.0,15480.0,5890.0,1815973.0,1835936.0,210.0,9090.0,18056.0
93,Ps 452,10,Public district,329, PK-5, New York,10023,NY,10023.0,34400.0,21760.0,9810.0,1670.0,13623617.0,13798656.0,140.0,23560.0,404349.0
94,"East Side Elementary School, PS 267",10,Public district,397, K-5, New York,10065,NY,10065.0,15920.0,10310.0,4450.0,570.0,10451654.0,10550844.0,55.0,10640.0,523901.0
95,Success Academy Bed-Stuy 2,10,Public charter,342, K-6, Brooklyn,11206,NY,11206.0,37300.0,21940.0,6610.0,8170.0,1564849.0,1584502.0,116.0,7240.0,40398.0
96,Success Academy Williamsburg,10,Public charter,475, K-4, Brooklyn,11211,NY,11211.0,31170.0,20540.0,6940.0,3060.0,2471748.0,2507083.0,111.0,11150.0,53975.0
97,P.S. 527 East Side School-Social Actio,10,Public district,384, K-5, New York,10128,NY,10128.0,33300.0,20900.0,9500.0,1850.0,12783790.0,12952497.0,185.0,20200.0,375425.0
98,Success Academy Hell's Kitchen,10,Public charter,481, K-4, New York,10019,NY,10019.0,25750.0,18350.0,5160.0,1430.0,7220520.0,7306115.0,71.0,14980.0,217788.0
99,Icahn Charter School 5,10,Public charter,314, K-8, Bronx,10461,NY,10461.0,24470.0,12370.0,6110.0,5430.0,1313883.0,1323318.0,200.0,7790.0,17883.0
100,Success Acad Charter School-Brooklyn 6,10,Public charter,529, K-6, Brooklyn,11216,NY,11216.0,29770.0,20400.0,3160.0,5580.0,1633041.0,1655885.0,168.0,8550.0,20526.0
101,Success Academy Bensonhurst,10,Public charter,494, K-4, Brooklyn,11204,NY,11204.0,33780.0,14440.0,14620.0,4170.0,1870509.0,1895843.0,200.0,7200.0,146198.0
102,Success Academy Charter - Washington Hgts,10,Public charter,517, K-4, New York,10040,NY,10040.0,21620.0,12800.0,3680.0,4680.0,989642.0,1001852.0,124.0,5080.0,10022.0
103,Success Academy Bronx 4,10,Public charter,524, K-4, Bronx,10473,NY,10473.0,28490.0,14360.0,3590.0,10020.0,1145015.0,1151489.0,147.0,7650.0,21370.0
104,Success Academy Bergen Beach,10,Public charter,424, K-4, Brooklyn,11234,NY,11234.0,43010.0,20320.0,11530.0,9950.0,2858693.0,2886964.0,499.0,19460.0,69450.0
105,Success Academy Rosedale,10,Public charter,505, K-4, Queens,11422,NY,11422.0,16640.0,8200.0,2570.0,5340.0,840146.0,844465.0,91.0,7090.0,24030.0
